Pays;Adresse;Ville;Région;Gare - code uic;Gare;Type de point de vente;CodePostal;CB;Espèces;Chèque
FRANCE;275 AVENUE DE LA BOISSE;CHAMBERY;AUVERGNE- RHONE ALPES;87262386;SCR CHAMBERY;Poste de vente guichet;73000;Oui;Oui;Oui
FRANCE;1, PLACE DE L'ANCIENNE GARE;VALLON-PONT-D'ARC;AUVERGNE- RHONE ALPES;87392688;VALLON PONT D ARC O.T.;Poste de vente guichet;7150;Oui;Oui;Oui
FRANCE;PLACE HECTOR BERLIOZ;COTE-SAINT-ANDRE;AUVERGNE- RHONE ALPES;87392704;LA COTE ST ANDRE O.T.;Poste de vente guichet;38260;Oui;Oui;Oui
FRANCE;VALLON GARE GARE SNCF DE VALLON EN SULLY;HÉRISSON;AUVERGNE- RHONE ALPES;87641357;VALLON-EN-SULLY;Automates TER;3190;Oui;Non;Non
FRANCE;20 BD EUGENE DERUELLE;LYON;AUVERGNE- RHONE ALPES;87129650;CENTRE ETUDE MATERIEL VOYAGEUR;Poste de vente guichet;69003;Oui;Oui;Oui
FRANCE;70 RUE MAURICE FLANDIN;LYON;AUVERGNE- RHONE ALPES;87702480;CELLULE ALPHA LYON;Poste de vente guichet;69003;Oui;Oui;Oui
FRANCE;9 PLACE DE LA GARE;LUXEMBOURG;AUVERGNE- RHONE ALPES;87132449;LUXEMBOURG GARE;Poste de vente guichet;1616;Oui;Oui;Oui
FRANCE;AVENUE DU 2EME SPAHIS;SAINT-GERMAIN-AU-MONT-D'OR;AUVERGNE- RHONE ALPES;87721282;ST GERMAIN AU MONT D'OR;Poste de vente guichet;69650;Oui;Oui;Oui
FRANCE;11 PLACE DE LA GARE;LUXEMBOURG;AUVERGNE- RHONE ALPES;87198994;BLSE LUXEMBOURG;Automates TGV-Intercités;1616;Oui;Non;Non
FRANCE;"ROUTE NATIONALE 6
POINT D'ARRÊT DE ANSE";ANSE;AUVERGNE- RHONE ALPES;87721324;ANSE;Automates TER;69480;Oui;Oui;Non
FRANCE;BD VIVIER MERLE;LYON;AUVERGNE- RHONE ALPES;87497677;LYON PART DIEU OURA;Poste de vente guichet;69003;Oui;Oui;Oui
FRANCE;113 PLACE DE LA GARE;VILLEFRANCHE-SUR-SAÔNE;AUVERGNE- RHONE ALPES;87721332;VILLEFRANCHE SUR SAONE;Poste de vente guichet;69400;Oui;Oui;Oui
FRANCE;CHARPENAY GARE POINT D'ARRÊT DE LENTILLY-CHARPENAYCHEMIN DES MOLIÈRES ZA DE CHARPENAY;LENTILLY;AUVERGNE- RHONE ALPES;87566919;LENTILLY-CHARPENAY;Automates TER;69210;Oui;Non;Non
FRANCE;GARE SNCF - 69210  L ARBRESLE 3, PLACE DE LA GARE;ARBRESLE;AUVERGNE- RHONE ALPES;87721431;L'ARBRESLE;Automates TER;69210;Oui;Oui;Non
FRANCE;PLACE PIERRE SÉMARD;AURILLAC;AUVERGNE- RHONE ALPES;87645002;AURILLAC;Libre-Service Assisté;15000;Oui;Non;Non
FRANCE;GARE SNCF - 69170  TARARE PLACE DE LA GARE;TARARE;AUVERGNE- RHONE ALPES;87721472;TARARE;Poste de vente guichet;69170;Oui;Oui;Oui
FRANCE;GARE SNCF - 15600  MAURS;MAURS;AUVERGNE- RHONE ALPES;87645168;MAURS;Poste de vente guichet;15600;Oui;Oui;Oui
FRANCE;1, ALLEE DES TILLEULS  69244  TASSIN-LA-DEMI-LUNE ALLÉE DES TILLEULS;TASSIN-LA-DEMI-LUNE;AUVERGNE- RHONE ALPES;87721514;TASSIN;Poste de vente guichet;69160;Oui;Oui;Oui
FRANCE;"10 RUE PHILIPPE THOMAS
4 RUE PHILIPPE THOMAS";MOULINS;AUVERGNE- RHONE ALPES;87696328;MOULINS SUR ALLIER;Automates TER;3000;Oui;Oui;Non
FRANCE;GARE DE LENTILLY - 69210  L ARBRESLE POINT D'ARRÊT DE LENTILLYRUE DE LA GARE;LENTILLY;AUVERGNE- RHONE ALPES;87721555;LENTILLY;Automates TER;69210;Oui;Oui;Non
FRANCE;"10 RUE PHILIPPE THOMAS
4 RUE PHILIPPE THOMAS";MOULINS;AUVERGNE- RHONE ALPES;87696328;MOULINS SUR ALLIER;Poste de vente guichet;3000;Oui;Oui;Oui
FRANCE;10 14 COURS DE VERDUN 69286 LYON CEDEX 02;LYON;AUVERGNE- RHONE ALPES;87722025;LYON PERRACHE;Automates TGV-Intercités;69002;Oui;Non;Non
FRANCE;BESSAY GARE GARE SNCF DE BESSAY;BESSAY-SUR-ALLIER;AUVERGNE- RHONE ALPES;87696336;BESSAY;Automates TER;3340;Oui;Non;Non
FRANCE;1 PLACE DE VALMY  69149  OULLINS PLACE VALMY;OULLINS;AUVERGNE- RHONE ALPES;87722207;OULLINS;Automates TER;69600;Oui;Non;Non
FRANCE;PL DE LA GARE;AUBENAS;AUVERGNE- RHONE ALPES;87711200;BA AUBENAS TOUT EN BUS;Poste de vente guichet;7200;Oui;Oui;Oui
FRANCE;PIERRE BENITE HALTE POINT D'ARRÊT DE PIERRE-BÉNITERUE HENRY MOISSAN;PIERRE-BÉNITE;AUVERGNE- RHONE ALPES;87722231;PIERRE BENITE;Automates TER;69310;Oui;Non;Non
FRANCE;LYON VAISE GARE 2 PLACE DE PARIS;LYON;AUVERGNE- RHONE ALPES;87721001;LYON VAISE;Automates TGV-Intercités;69009;Oui;Non;Non
FRANCE;PLACE SAINT EXUPERY PLACE SAINT-EXUPÉRY;GIVORS;AUVERGNE- RHONE ALPES;87722405;GIVORS VILLE;Automates TER;69700;Oui;Oui;Non
FRANCE;11BIS PLACE ST PAUL ET 2 MONTÉE DES CARMES 11 BIS PLACE SAINT-PAUL;LYON;AUVERGNE- RHONE ALPES;87721159;LYON ST PAUL;Automates TER;69005;Oui;Oui;Non
FRANCE;PLACE DE LA GARE AVENUE DE LA GARE;SAINT-CLAIR-DU-RHÔNE;AUVERGNE- RHONE ALPES;87722652;ST CLAIR LES ROCHES;Poste de vente guichet;38370;Oui;Oui;Oui
FRANCE;11BIS PLACE ST PAUL ET 2 MONTÉE DES CARMES 11 BIS PLACE SAINT-PAUL;LYON;AUVERGNE- RHONE ALPES;87721159;LYON ST PAUL;Poste de vente guichet;69005;Oui;Oui;Oui
FRANCE;13, PLACE DE LA GARE;PÉAGE-DE-ROUSSILLON;AUVERGNE- RHONE ALPES;87722678;LE PEAGE DE ROUSSILLON;Automates TER;38550;Oui;Oui;Non
FRANCE;LYON GORGE DE LOUP GARE PÔLE MULTIMODAL SNCF/TCLRUE DU PROFESSEUR GUÉRIN;LYON;AUVERGNE- RHONE ALPES;87721175;LYON GORGE DE LOUP;Automates TER;69009;Oui;Oui;Non
FRANCE;CHAPONOST GARE ROUTE DE LA GARE;CHAPONOST;AUVERGNE- RHONE ALPES;87722710;CHAPONOST;Automates TER;69630;Oui;Non;Non
FRANCE;PLACE DE LA GARE;BELLEVILLE;AUVERGNE- RHONE ALPES;87721357;BELLEVILLE SUR SAONE;Automates TER;69220;Oui;Oui;Non
FRANCE;GARE SNCF - 69530  BRIGNAIS AVENUE DE LA GARE;BRIGNAIS;AUVERGNE- RHONE ALPES;87722728;BRIGNAIS;Poste de vente guichet;69530;Oui;Oui;Oui
FRANCE;GARE SNCF - 69390  VERNAISON 15 RUE DE LA GARE;VERNAISON;AUVERGNE- RHONE ALPES;87722264;VERNAISON;Automates TER;69390;Oui;Oui;Non
FRANCE;GARE SNCF - 38290  LA VERPILLIERE PLACE DE LA GARE;SAINT-QUENTIN-FALLAVIER;AUVERGNE- RHONE ALPES;87723387;ST QUENTIN FALLAVIER;Automates TER;38070;Oui;Non;Non
FRANCE;GARE SNCF - 69530  BRIGNAIS AVENUE DE LA GARE;BRIGNAIS;AUVERGNE- RHONE ALPES;87722728;BRIGNAIS;Automates TER;69530;Oui;Non;Non
FRANCE;GARE SNCF - 38110  LA TOUR DU PIN PLACE DE LA GARE;TOUR-DU-PIN;AUVERGNE- RHONE ALPES;87723478;LA TOUR DU PIN;Poste de vente guichet;38110;Oui;Oui;Oui
FRANCE;12 RUE DES MARTYRS DU 08 JUILLET;SAINT ANDRE LE GAZ;AUVERGNE- RHONE ALPES;87723494;ST ANDRE LE GAZ;Automates TER;38490;Oui;Oui;Non
FRANCE;GARE SNCF - 01700  MIRIBEL PLACE DE LA GARE;MIRIBEL;AUVERGNE- RHONE ALPES;87723528;MIRIBEL;Automates TER;1700;Oui;Oui;Non
FRANCE;CREPIEUX LA PAPE HALTE POINT D'ARRÊT DE CRÉPIEUX-LA-PAPEDÉPARTEMENTALE 484;RILLIEUX-LA-PAPE;AUVERGNE- RHONE ALPES;87723502;CREPIEUX LA PAPE;Automates TER;69140;Oui;Non;Non
FRANCE;GARE SNCF - 01120  MONTLUEL PLACE DE LA GARE;MONTLUEL;AUVERGNE- RHONE ALPES;87723569;MONTLUEL;Automates TER;1120;Oui;Oui;Non
FRANCE;GARE SNCF - 69580  SATHONAY 20 RUE CARNOT;RILLIEUX-LA-PAPE;AUVERGNE- RHONE ALPES;87723700;SATHONAY RILLIEUX;Automates TER;69580;Oui;Oui;Non
FRANCE;LES ECHETS GARE ROUTE DE STRASBOURG;MIRIBEL;AUVERGNE- RHONE ALPES;87723718;LES ECHETS;Automates TER;1700;Oui;Non;Non
FRANCE;GARE SNCF - 01390  ST ANDRE DE CORCY PLACE DE LA GARE;SAINT-ANDRÉ-DE-CORCY;AUVERGNE- RHONE ALPES;87723734;ST ANDRE DE CORCY;Automates TER;1390;Oui;Non;Non
FRANCE;GARE SNCF - 01330  VILLARS LES DOMBES 61 RUE DES ACACIAS;VILLARS-LES-DOMBES;AUVERGNE- RHONE ALPES;87723759;VILLARS LES DOMBES;Poste de vente guichet;1330;Oui;Oui;Oui
FRANCE;GARE SNCF - 01290  PONT DE VEYLE;PONT-DE-VEYLE;AUVERGNE- RHONE ALPES;87725804;PONT DE VEYLE;Poste de vente guichet;1290;Oui;Oui;Oui
FRANCE;BD PIERRE MENDES FRANCE;ST ETIENNE;AUVERGNE- RHONE ALPES;87726174;ST ETIENNE LE CLAPIER;Automates TER;42000;Oui;Non;Non
FRANCE;2, RUE ESPLANADE DE FRANCE  2, RUE ESPLANADE DE FRANCE;SAINT-ÉTIENNE;AUVERGNE- RHONE ALPES;87726000;ST ETIENNE CHATEAUCREUX;Automates TGV-Intercités;42000;Oui;Non;Non
FRANCE;RUE EDOUARD VAILLANT RUE EDOUARD VAILLANT;RIVE-DE-GIER;AUVERGNE- RHONE ALPES;87726331;RIVE DE GIER;Poste de vente guichet;42800;Oui;Oui;Oui
FRANCE;GARE SNCF - 42000  SAINT ETIENNE RUE BRANLY;SAINT-ÉTIENNE;AUVERGNE- RHONE ALPES;87726190;ST ETIENNE BELLEVUE;Automates TER;42000;Oui;Oui;Non
FRANCE;DEPARTEMENTALE 105;SURY-LE-COMTAL;AUVERGNE- RHONE ALPES;87726422;SURY LE COMTAL;Automates TER;42450;Oui;Non;Non
FRANCE;BOUTHEON GARE POINT D'ARRÊT DE BOUTHÉONPLACE DE LA GARE;ANDRÉZIEUX-BOUTHÉON;AUVERGNE- RHONE ALPES;87726216;BOUTHEON;Automates TER;42160;Oui;Non;Non
FRANCE;PLACE DE LA GARE PLACE DE LA GARE;MONTBRISON;AUVERGNE- RHONE ALPES;87726448;MONTBRISON;Automates TER;42600;Oui;Oui;Non
FRANCE;SQUARE GRAVIER - 42400  ST CHAMOND 2 SQUARE GRAVIER;SAINT-CHAMOND;AUVERGNE- RHONE ALPES;87726307;ST CHAMOND;Poste de vente guichet;42400;Oui;Oui;Oui
FRANCE;PLACE DE LA GARE  42095  FIRMINY AVENUE DE LA GARE;FIRMINY;AUVERGNE- RHONE ALPES;87726729;FIRMINY;Automates TER;42700;Oui;Oui;Non
FRANCE;RUE EDOUARD VAILLANT RUE EDOUARD VAILLANT;RIVE-DE-GIER;AUVERGNE- RHONE ALPES;87726331;RIVE DE GIER;Automates TER;42800;Oui;Oui;Non
